trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,3,-154.824967571,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-234.276092611,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': -1.350000000000001}",20,0,-169.458620944,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': -2.35}",30,0,-288.27417256,"{0: 9, 1: 0, 2: 18, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': -3.8499999999999948}",25,0,-130.854782553,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': -5.099999999999991}",20,0,-116.743197704,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': -6.099999999999987}",20,0,-142.602153318,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': -7.099999999999984}",20,0,-154.963094147,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': -8.099999999999982}",25,0,-272.042473635,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': -9.35}",25,0,-189.626820455,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': -10.600000000000017}",20,0,-190.251019472,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': -11.600000000000032}",25,0,-155.246969539,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': -12.85000000000005}",20,0,-165.035825727,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': -13.850000000000064}",20,0,-86.2186224038,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': -14.850000000000078}",30,0,-307.277654382,"{0: 13, 1: 0, 2: 12, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': -16.350000000000097}",30,0,-263.69645489,"{0: 14, 1: 0, 2: 12, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': -17.85000000000012}",25,0,-111.261111689,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': -19.100000000000136}",25,0,-185.833819215,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': -20.350000000000154}",20,0,-162.32283754,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -21.35000000000017}",30,0,-119.176798115,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': -22.85000000000019}",25,0,-28.5279341577,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -24.100000000000207}",30,0,-246.255179954,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': -25.60000000000023}",20,8,-162.635748527,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 3}",1
4,True,"{'a': 0.5, 'e': -26.200000000000237}",25,0,-204.948392649,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': -27.450000000000255}",25,0,-168.823982973,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': -28.700000000000273}",25,0,-60.5872929616,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -29.95000000000029}",25,0,-125.662096283,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': -31.20000000000031}",30,0,-261.528785894,"{0: 14, 1: 0, 2: 12, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': -32.70000000000028}",20,2,-158.314858411,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 3}",1
10,True,"{'a': 0.5, 'e': -33.60000000000023}",25,0,-312.82806322,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 6}",0
11,True,"{'a': 0.5, 'e': -34.85000000000016}",25,18,-12.1784663806,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,True,"{'a': 0.5, 'e': -35.20000000000014}",25,0,-194.451073004,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
13,True,"{'a': 0.5, 'e': -36.45000000000007}",30,0,-217.544833105,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
14,True,"{'a': 0.5, 'e': -37.94999999999998}",25,0,-132.600584849,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,True,"{'a': 0.5, 'e': -39.19999999999991}",30,0,-127.676928134,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
16,True,"{'a': 0.5, 'e': -40.699999999999825}",25,0,-227.632763434,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
17,True,"{'a': 0.5, 'e': -41.949999999999754}",25,0,-147.483014826,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,True,"{'a': 0.5, 'e': -43.19999999999968}",20,0,-130.492526769,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,True,"{'a': 0.5, 'e': -44.199999999999626}",20,0,-260.30212682,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 6}",0
20,True,"{'a': 0.5, 'e': -45.19999999999957}",20,0,-138.102022499,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
