trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9981013044736489}",25,0,-92.0002838869,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9972034174094089}",20,0,-82.4462876931,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.005, 'e': 0.9963063380799916}",20,0,-72.0543653556,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9954100657587626}",20,0,-111.345690649,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9945145997197412}",30,0,-85.060642696,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9936199392376001}",25,0,-190.227764233,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.005, 'e': 0.992726083587664}",20,0,-158.354055438,"{0: 12, 1: 1, 2: 1, 3: 4, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9918330320459099}",20,0,-39.9816560815,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.990940783888966}",20,0,-41.968713942,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.9900493383941112}",30,0,-122.903600644,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.9891586948392747}",20,0,-95.2554676966,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.988268852503035}",25,8,-81.4240874502,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.005, 'e': 0.9873798106646199}",30,0,-131.224636237,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9864915686039054}",25,0,-150.282307957,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9856041256014154}",20,0,-118.739801111,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9847174809383211}",25,0,-79.3329820363,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9838316338964401}",30,0,-104.051392467,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9829465837582364}",30,6,-74.2246534367,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 0}",1
19,False,"{'a': 0.005, 'e': 0.9820623298068193}",25,0,-131.541234065,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9811788713259431}",25,0,-307.518419469,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 6}",0
21,False,"{'a': 0.005, 'e': 0.9802962076000062}",20,0,-109.137792763,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.005, 'e': 0.9794143379140512}",30,0,-274.146554078,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 6}",0
23,False,"{'a': 0.005, 'e': 0.9785332615537633}",30,0,-255.698274493,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
24,False,"{'a': 0.005, 'e': 0.9776529778054708}",25,0,-137.11783181,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
25,False,"{'a': 0.005, 'e': 0.9767734859561438}",20,0,-91.2749966252,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.005, 'e': 0.9758947852933938}",25,0,-79.3209841338,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.9750168751054733}",20,0,-130.633887078,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.9741397546812749}",35,0,-140.339060382,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.9732634233103311}",20,0,-66.7365328501,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.005, 'e': 0.9723878802828134}",20,0,-62.1324888646,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.005, 'e': 0.9715131248895319}",20,11,-6.69079375674,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.005, 'e': 0.9706391564219347}",25,0,-101.390660069,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.005, 'e': 0.9697659741721072}",30,0,-176.522934954,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
34,False,"{'a': 0.005, 'e': 0.9688935774327718}",30,0,-109.543599482,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.9680219654972871}",25,0,-103.924168826,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.005, 'e': 0.9671511376596474}",25,0,-105.794416086,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.005, 'e': 0.9662810932144821}",30,0,-139.914683227,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.005, 'e': 0.9654118314570551}",25,0,-186.006451646,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.005, 'e': 0.9645433516832643}",30,0,-85.2320374209,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.005, 'e': 0.9636756531896412}",20,8,-63.4900787071,"{0: 4, 1: 4, 2: 3, 3: 1, 4: 0}",1
41,False,"{'a': 0.005, 'e': 0.9628087352733499}",20,0,-35.6063937895,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.005, 'e': 0.9619425972321867}",20,0,-103.204860135,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.005, 'e': 0.9610772383645799}",30,0,-143.405660626,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.005, 'e': 0.9602126579695888}",25,0,-96.2774127766,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
45,False,"{'a': 0.005, 'e': 0.9593488553469031}",25,0,-115.551278806,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
46,False,"{'a': 0.005, 'e': 0.9584858297968426}",20,0,-68.6979813638,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.005, 'e': 0.9576235806203567}",30,0,-120.424303412,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.005, 'e': 0.9567621071190234}",25,0,-45.7088117448,"{0: 18, 1: 5, 2: 0, 3: 2, 4: 0}",0
49,False,"{'a': 0.005, 'e': 0.9559014085950492}",20,0,-108.061920381,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.005, 'e': 0.9550414843512683}",20,0,-81.197772678,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.005, 'e': 0.9541823336911419}",20,0,-130.892710008,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.953323955918758}",20,12,-20.4760574518,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.005, 'e': 0.9524663503388304}",30,0,-157.278356543,"{0: 14, 1: 6, 2: 6, 3: 4, 4: 0}",0
54,False,"{'a': 0.005, 'e': 0.9516095162566988}",35,13,-118.533988549,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 2}",1
55,False,"{'a': 0.005, 'e': 0.9507534529783273}",35,0,-139.305527502,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
56,False,"{'a': 0.005, 'e': 0.9498981598103047}",20,0,-76.9350427192,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.005, 'e': 0.9490436360598435}",25,0,-45.9354621643,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.005, 'e': 0.9481898810347794}",25,0,-143.875407607,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.005, 'e': 0.9473368940435708}",20,0,-13.7051234732,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.005, 'e': 0.9464846743952982}",20,13,-10.6779375062,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.005, 'e': 0.9456332213996635}",25,0,-95.667584378,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.005, 'e': 0.94478253436699}",20,0,-141.546306218,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.005, 'e': 0.9439326126082209}",20,0,-146.376337057,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
64,False,"{'a': 0.005, 'e': 0.9430834554349197}",20,0,-209.266066395,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
65,False,"{'a': 0.005, 'e': 0.9422350621592689}",30,0,-202.255558202,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
66,False,"{'a': 0.005, 'e': 0.9413874320940699}",25,0,-114.546713903,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.005, 'e': 0.9405405645527425}",25,0,-124.420653103,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
68,False,"{'a': 0.005, 'e': 0.9396944588493237}",20,0,-74.8264704969,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.005, 'e': 0.938849114298468}",20,0,-209.944483429,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
70,False,"{'a': 0.005, 'e': 0.9380045302154462}",20,0,-107.453922685,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
71,False,"{'a': 0.005, 'e': 0.9371607059161451}",20,0,-70.7878534141,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
72,False,"{'a': 0.005, 'e': 0.936317640717067}",30,0,-122.92192022,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.9354753339353292}",20,0,-100.456406271,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
74,False,"{'a': 0.005, 'e': 0.934633784888663}",30,0,-321.285771862,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 6}",0
75,False,"{'a': 0.005, 'e': 0.9337929928954136}",20,0,-69.6083986095,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.9329529572745395}",20,0,-135.941806187,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
77,False,"{'a': 0.005, 'e': 0.9321136773456119}",30,0,-113.600598478,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
78,False,"{'a': 0.005, 'e': 0.9312751524288139}",20,0,-136.713139384,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
