trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.31212129,"{0: 26, 1: 2, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.742809729,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.063178299,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.613860716,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.0817696109,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.0857144629,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,18,-36.3685162751,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.984479644,"{0: 8, 1: 7, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.541915973,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.767247578,"{0: 15, 1: 8, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-256.560517161,"{0: 11, 1: 3, 2: 12, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-260.883406222,"{0: 17, 1: 8, 2: 4, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,4,-109.778226917,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.274489306,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.311947588,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.455297564,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,2,-140.093388942,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.773111912,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.5998503639,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.376801692,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-147.398305908,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.718092816,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,6,-158.677202149,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.860674775,"{0: 13, 1: 5, 2: 10, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-106.712273286,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.625178123,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.9363219317,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.513325518,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.959999784,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.1792578218,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
